site,shell_num,growth_period,dist_addition,cumul_dist
N. Cape: Barnstable,G77,3-4,2.95,11.86
N. Cape: Barnstable,G77,4-5,1.68,13.54
N. Cape: Barnstable,G77,5-6,1.6,15.14
N. Cape: Barnstable,G77,6-7,1.18,16.32
N. Cape: Barnstable,G77,7-8,1.44,17.76
N. Cape: Barnstable,G77,8-9,1.1,18.86
N. Cape: Barnstable,G77,9-10,0.71,19.57
N. Cape: Barnstable,G78,1-2,6.36,6.36
N. Cape: Barnstable,G78,2-3,3.46,9.82
N. Cape: Barnstable,G78,3-4,1.43,11.25
N. Cape: Barnstable,G78,4-5,2.11,13.36
N. Cape: Provincetown,G79,1-2,6.37,6.37
N. Cape: Provincetown,G80,1-2,5.76,5.76
N. Cape: Provincetown,G80,2-3,2.62,8.38
N. Cape: Dennis,G81,1-2,8.4,8.4
N. Cape: Dennis,G81,2-3,3.12,11.52
N. Cape: Dennis,G81,3-4,1.6,13.12
N. Cape: Dennis,G81,4-5,1.55,14.67
N. Cape: Dennis,G81,5-6,1.15,15.82
N. Cape: Dennis,G81,6-7,0.85,16.67
N. Cape: Dennis,G81,7-8,0.56,17.23
N. Cape: Dennis,G81,8-9,0.31,17.54
S. Cape: Chatham,G82,,,
S. Cape: Chatham,G83,,,
N. Cape: Dennis,G84 ,,,
N. Cape: Dennis,G85,1-2,6.23,6.23
N. Cape: Dennis,G85,2-3,2.88,9.11
N. Cape: Dennis,G85,3-4,2.24,11.35
N. Cape: Dennis,G85,4-5,1.28,12.63
N. Cape: Dennis,G85,5-6,0.77,13.4
N. Cape: Dennis,G85,6-7,0.49,13.89
N. Cape: Dennis,G85,7-8,0.69,14.58
N. Cape: Dennis,G85,8-9,0.47,15.05
N. Cape: Dennis,G85,9-10,0.49,15.54
N. Cape: Dennis,G86,1-2,5.2,5.2
N. Cape: Dennis,G86,2-3,4.3,9.5
N. Cape: Dennis,G86,3-4,2.36,11.86
N. Cape: Dennis,G87,1-2,5.97,5.97
N. Cape: Dennis,G87,2-3,3.4,9.37
