site,shell_num,age,growth_period,growth_year_range,chondro_dist_addition,chondro_cumul_dist,shell_cumul_dist,Param,Value
S. Cape: Eel Pond,G58,3,2,2-3,1.31,5.47,68.270574,,
S. Cape: Eel Pond,G58,4,3,3-4,0.58,6.05,73.04815,,
S. Cape: Eel Pond,G59,2,1,1-2,2.05,2.05,38.18415,,
S. Cape: Eel Pond,G60,2,1,1-2,1.43,1.43,32.379214,,
S. Cape: Chatham,G61,2,1,1-2,6.22,6.22,74.430624,,
S. Cape: Chatham,G61,3,2,2-3,2.87,9.09,96.548566,,
S. Cape: Chatham,G61,4,3,3-4,0.63,9.72,101.095024,,
N. Cape: Provincetown,G62,2,1,1-2,5.56,5.59,69.266766,,
N. Cape: Provincetown,G62,3,2,2-3,3.89,9.48,99.376144,,
N. Cape: Provincetown,G62,4,3,3-4,2.09,11.57,113.803414,,
N. Cape: Provincetown,G62,5,4,4-5,1.6,13.17,124.021654,,
N. Cape: Provincetown,G62,6,5,5-6,1.4,14.57,132.374614,,
N. Cape: Provincetown,G62,7,6,6-7,0.81,15.38,136.956784,,
N. Cape: Provincetown,G62,8,7,7-8,0.36,15.74,138.934336,,
S. Cape: Chatham,G63,2,1,1-2,6.93,6.93,80.117014,,
S. Cape: Chatham,G63,3,2,2-3,2.5,9.43,99.016014,,
S. Cape: Chatham,G63,4,3,3-4,1.15,10.58,107.121904,,
N. Cape: Barnstable,G64,1,,,,,81.1,,
S. Cape: Chatham,G65,1,,,,,72.5,,
N. Cape: Dennis,G66,2,1,1-2,9.38,9.38,98.655184,,
S. Cape: Chatham,G67,2,1,1-2,5.17,5.17,65.762454,,
S. Cape: Chatham,G67,3,2,2-3,2.54,7.71,86.201326,,
N. Cape: Provincetown,G68,2,1,1-2,4.28,4.28,58.173424,,
N. Cape: Provincetown,G68,3,2,2-3,3.27,7.55,84.96715,,
N. Cape: Dennis,G69,2,1,1-2,4.17,4.17,57.220054,,
N. Cape: Dennis,G69,3,2,2-3,3.49,7.66,85.816416,,
N. Cape: Dennis,G69,4,3,3-4,1.13,8.79,94.344526,,
N. Cape: Dennis,G69,5,4,4-5,1.56,10.35,105.53035,,
N. Cape: Dennis,G69,6,5,5-6,1.2,11.55,113.67115,,
N. Cape: Dennis,G69,7,6,6-7,0.85,12.4,119.1936,,
